title,ingredients
Citrus Sponge Cake with Strawberries,"['Potato starch (for dusting cake pan)', 'vegetable oil', 'matzoh cake meal', 'potato starch', '-large eggs, separated, at room temperature', 'sugar', 'orange juice', 'Juice of 1 large lemon', 'freshly grated orange zest', 'freshly grated lemon zest', '1/2 teaspoons pure vanilla extract', 'almond extract', 'salt', 'strawberries, stemmed, washed, and thinly sliced', 'orange juice', 'sugar']"
Coconut-Blueberry Cake,"['sifted self-rising flour', 'plus 1 tablespoon sugar', '(1 stick) chilled unsalted butter, cut into pieces', 'sweetened shredded coconut, lightly toasted', 'milk', 'eggs', 'vanilla extract', '21-ounce can blueberry pie filling', 'fresh lemon juice']"
Coconut Cake with Chocolate Chunks and Coconut Drizzle,"['3/4 cups all purpose flour', 'baking powder', 'fine sea salt', 'unsweetened shredded coconut*', 'sugar', '(1 stick) unsalted butter, room temperature', '(packed) finely grated orange peel', 'eggs', 'vanilla extract', 'canned unsweetened coconut milk**', 'bittersweet chocolate bars (do not exceed 61% cacao), broken into 1/2-inch irregular pieces, divided', 'sweetened flaked coconut', 'powdered sugar', '(or more) canned unsweetened coconut milk**', 'vanilla extract', 'Vanilla ice cream']"
Coconut Cake with Lime Curd,"['White Lily flour or cake flour (not self-rising)', 'baking powder', 'salt', 'whole milk', 'fresh coconut liquid (from about 3 heavy coconuts without any cracks and containing liquid, (procedure follows) or water', '1/2 teaspoons vanilla', '1/2 sticks (1 1/4 cups) unsalted butter, softened', '3/4 cups sugar', 'eggs', 'egg yolks', 'sugar', 'fresh lime juice', 'heavy cream', '(6 tablespoons) cold unsalted butter, cut into pieces', 'freshly grated lime zest', 'shredded fresh coconut (procedure follows) or sweetened \xa0flaked coconut', 'egg whites', '1/2 cups sugar', 'water', 'light corn syrup', 'freshly grated lime zest', 'fresh lime juice', 'about 4 cups shaved fresh coconut (procedure follows) or 2 1/2 cups sweetened flaked coconut']"
Coconut-Key Lime Sheet Cake,"['1/2 cups unsweetened shredded coconut', 'Nonstick vegetable oil spray', '3/4 cups cake flour, plus more for pan', 'baking powder', 'kosher salt', 'virgin coconut oil, melted', '1/2 teaspoons vanilla extract', '1/3 cups canned unsweetened coconut milk, divided', '1/2 cups sugar', '(1 1/2 sticks) unsalted butter, room temperature', 'eggs', 'finely grated key lime zest', 'fresh key lime juice (from about 6 key limes)', '(1/2 stick) unsalted butter, cut into pieces, room temperature', 'egg yolks', 'sugar', 'finely grated key lime zest', 'fresh key lime juice (from about 4 key limes)', '1/2 cups cold heavy cream', 'finely grated key lime zest', 'unsweetened coconut flakes']"
Coconut Mint Cream Cake,"['3/4 cups cake flour', 'baking powder', 'salt', 'whole milk', 'vanilla extract', 'coconut extract (optional)', '(1 1/2 sticks) unsalted butter, room temperature', '1/2 cups sugar, divided', 'egg whites', '14-ounce can sweetened condensed milk', '14-ounce can coconut cream', 'chopped fresh mint leaves', 'sugar', 'water', '1/2 cups heavy whipping cream, chilled', 'Sweetened flaked coconut']"
Coconut Pineapple Cake,"['cake flour (not self-rising)', 'salt', 'eggs at room temperature', 'sugar', 'vanilla', '(6 tablespoons) unsalted butter, melted and cooled', '(20-ounce) can crushed pineapple, including juice', 'sugar', 'cornstarch', 'fresh lemon juice', 'water', 'sugar', 'light rum', 'Coconut buttercream', '1/2 cups fresh coconut shavings (see how to crack and shave fresh coconut ) or 2 2/3 cups sweetened flaked coconut (7-oz package)']"
Coconut Rum Cake,"['1/4 cups all-purpose flour', '1/2 teaspoons baking powder', 'salt', 'eggs plus 3 large yolks', '1/2 cups sugar', 'pure vanilla extract', '1/2 sticks unsalted butter, melted and cooled', 'well-stirred sweetened cream of coconut such as Coco López', 'coconut', 'confectioners sugar', 'cream cheese, softened', 'well-stirred sweetened cream of coconut', 'dark rum', 'pure vanilla extract', '3 tablespoons heavy cream', 'confectioners sugar', 'Equipment: a 9-inch round cake pan (2 inches deep); an adjustable-blade slicer']"
Coconut Sour Cream Cake,"['1/4 cups sour cream', 'canned cream of coconut (such as Coco López)', 'eggs', 'vegetable oil', 'fresh lemon juice', '18.25-ounce box white cake mix', 'flaked sweetened coconut, toasted']"
Coconut Spice Cake,"['plus 3 tablespoons sifted unbleached all purpose flour', 'baking powder', 'ground ginger', 'baking soda', 'salt', 'ground cinnamon', '(2 sticks) unsalted butter, room temperature', 'sugar', '', 'plus 2 tablespoons light unsulfured molasses', 'grated orange peel', 'vanilla extract', 'buttermilk', 'shredded sweetened coconut, toasted', 'diced crystallized ginger (about 2 1/2 ounces)', 'cream cheese, room temperature', '(1 stick) unsalted butter, room temperature', 'grated orange peel', 'vanilla extract', '1-pound box powdered sugar', 'minced crystallized ginger (scant 2 ounces)', 'shredded sweetened coconut, toasted', 'Tropical fruit such as pineapple, papaya and mango, cut into bite-size pieces']"
Coffee Almond Ice-Cream Cake with Dark Chocolate Sauce,"['1/2 cups fine chocolate wafer crumbs (about 30 wafers)', '(1/4 cup) unsalted butter, melted', '1/2 pints coffee ice cream, softened slightly', '1/2 cups well-chilled heavy cream', 'vanilla', '1/2 cups crushed amaretti (Italian almond macaroons, available at specialty foods shops and some supermarkets)', 'sliced almonds, toasted', '1/2 cups heavy cream', 'firmly packed dark brown sugar', 'fine-quality bittersweet chocolate, chopped', 'unsweetened chocolate, chopped', '(1/4 cup) unsalted butter, softened', '4 tablespoons Amaretto, or to taste']"
Coffee-Chocolate Layer Cake with Mocha-Mascarpone Frosting,"['cake flour', 'natural unsweetened cocoa powder', '1/2 teaspoons baking soda', 'salt', '(1 1/2 sticks) unsalted butter, room temperature', '(packed) golden brown sugar', 'eggs', 'vanilla extract', 'buttermilk', 'instant espresso powder dissolved in 3/4 cup hot water', 'natural unsweetened cocoa powder', 'instant espresso powder', '1/2 cups chilled heavy whipping cream, divided', '1/3 cups sugar', '8-ounce containers chilled mascarpone cheese*', 'Bittersweet chocolate curls (optional)']"
Coffee Coffee Coffee Cake,"['all-purpose flour', 'chilled unsalted butter, cubed', '(packed) light brown sugar', 'powdered sugar', 'instant espresso powder', 'kosher salt', 'semisweet chocolate, coarsely chopped', 'unsalted butter', 'pecans (about 3/4 cup), lightly toasted and coarsely chopped', 'strong brewed coffee', 'granulated sugar', '(1 stick) unsalted butter, room temperature, plus more for pan', '1/2 cups all-purpose flour, plus more for pan', 'instant espresso powder', 'baking powder', 'baking soda', 'ground cinnamon', 'kosher salt', 'ground cardamom', 'strong brewed coffee, room temperature', 'sour cream', 'vanilla extract', '1/4 cups granulated sugar', 'eggs plus 1 egg yolk, room temperature', 'powdered sugar', 'coffee liqueur', 'sour cream', 'A 10-inch tube pan']"
Coffee-Walnut Cake with Coffee-Mascarpone Cream,"['walnuts (about 4 ounces), toasted, chopped, divided', 'sugar, divided', 'instant espresso powder', '1/3 cups all purpose flour', 'baking powder', 'ground cinnamon', 'baking soda', 'salt', '(1 1/4 sticks) unsalted butter, room temperature', 'eggs', 'egg yolk', 'vanilla extract', 'buttermilk', '1/2 teaspoons instant espresso powder', 'water', 'chilled heavy whipping cream', '(4 ounces) mascarpone cheese*', 'powdered sugar', 'vanilla extract', '(about 3 ounces) walnuts, toasted, chopped', 'ground cinnamon', 'Pinch of salt', '*Italian cream cheese; sold at many supermarkets and at Italian markets.']"
Cornmeal Cake with Black Cherry Compote,"['Yellow cornmeal', 'bean, split lengthwise', ""fresh goat's milk or whole milk"", '(1/2 stick) unsalted butter', 'grated lemon peel', 'salt', 'yellow cornmeal', 'honey', 'sugar', 'eggs, separated', 'Black Cherry Compote']"
Cornmeal Cake with Buttermilk Ice Cream and Rhubarb Compote,"['all purpose flour', 'yellow cornmeal', '1/2 teaspoons Homemade Baking Powder', 'salt', '(1 stick) unsalted butter, room temperature', 'finely grated orange peel', 'sugar', 'eggs, room temperature', 'sour cream', 'vanilla extract', 'coarsely crushed sugar cubes', 'Buttermilk Ice Cream', 'Rhubarb Compote']"
Cornmeal Cake with Sweet Rosemary Syrup and Blackberries,"['(1/2 cup) unsalted butter, softened', 'sugar', 'yellow cornmeal', 'all-purpose flour', 'baking powder', 'salt', 'eggs', 'egg yolk', 'milk', 'Sweet Rosemary Syrup', 'lightly sweetened whipped cream', '-pints blackberries']"
"Cornmeal Pound Cake with Rosemary Syrup, Poached Pears, and Candied Rosemary","['water', 'sugar', 'dry or off-dry Riesling', 'rosemary sprigs', 'bean, split lengthwise', 'whole black peppercorns', 'pears or other small pears, peeled, stems left intact', 'all purpose flour', 'yellow cornmeal', '(2 sticks) unsalted butter, room temperature', '1/3 cups sugar', 'salt', 'eggs, beaten to blend in medium bowl', 'vanilla extract', 'sugar', 'water', '(4-inch-long) fresh rosemary sprigs', ""Baker's sugar or other superfine sugar""]"
Crab Cake BLT,"['yolk', 'plus 2 tablespoons mayonnaise, divided', 'Dijon mustard', 'Worcestershire sauce', ', finely sliced', 'chopped fresh parsley', 'chopped fresh tarragon', 'Zest of 1 lemon', 'Dash of Tabasco', 'breadcrumbs', 'Sea salt', 'Freshly ground black pepper', '. jumbo lump crabmeat, picked over', 'yellow ground cornmeal', 'vegetable oil', ', halved', 'Sriracha', 'crisp cooked bacon', ', sliced', ', sliced', 'Lettuce']"
Cranberry and Pumpkin Pie Spice Tea Cake,"['1/2 cups unsalted butter (2 1/2 sticks), room temperature', 'plus 3 tablespoons sugar', 'egg yolks', 'egg', 'ground blanched almonds', 'vanilla extract', 'fresh cranberries, coarsely chopped', '3/4 cups sifted unbleached all purpose flour', '1/2 teaspoons pumpkin pie spice', 'dried cranberries or currants', 'Powdered sugar']"
Cranberry Coconut Layer Cake,"['cake flour (not self-rising)', 'baking powder', 'salt', 'whole milk', 'water', '1/2 teaspoons vanilla', '1/2 sticks (1 1/4 cups) unsalted butter, softened', 'sugar', 'eggs', 'bean', 'a 12-ounce bag fresh or unthawed frozen cranberries (about 3 1/2 cups)', '1/3 cups sugar', 'water', 'egg whites', 'sugar', 'water', 'salt', 'a 7-ounce bag sweetened shredded coconut for coating cake (about 2 2/3 cups)']"
